country,url,advisory_level,country_standardized,advisory_label
Kuwait,https://www.ireland.ie/en/dfa/overseas-travel/advice/kuwait/,2.0,Kuwait,High Degree of Caution
Kyrgyzstan,https://www.ireland.ie/en/dfa/overseas-travel/advice/kyrgyzstan/,2.0,Kyrgyzstan,High Degree of Caution
Laos,https://www.ireland.ie/en/dfa/overseas-travel/advice/laos/,2.0,Lao PDR,High Degree of Caution
Latvia,https://www.ireland.ie/en/dfa/overseas-travel/advice/latvia/,1.0,Latvia,Normal Precautions
Lebanon,https://www.ireland.ie/en/dfa/overseas-travel/advice/lebanon/,3.0,Lebanon,Avoid Unnecessary Travel
Lesotho,https://www.ireland.ie/en/dfa/overseas-travel/advice/lesotho/,2.0,Lesotho,High Degree of Caution
Liberia,https://www.ireland.ie/en/dfa/overseas-travel/advice/liberia/,2.0,Liberia,High Degree of Caution
Libya,https://www.ireland.ie/en/dfa/overseas-travel/advice/libya/,4.0,Libya,Do Not Travel
Liechtenstein,https://www.ireland.ie/en/dfa/overseas-travel/advice/liechtenstein/,1.0,Liechtenstein,Normal Precautions
Lithuania,https://www.ireland.ie/en/dfa/overseas-travel/advice/lithuania/,3.0,Lithuania,Avoid Unnecessary Travel
Luxembourg,https://www.ireland.ie/en/dfa/overseas-travel/advice/luxembourg/,1.0,Luxembourg,Normal Precautions
Madagascar,https://www.ireland.ie/en/dfa/overseas-travel/advice/madagascar/,2.0,Madagascar,High Degree of Caution
Malawi,https://www.ireland.ie/en/dfa/overseas-travel/advice/malawi/,2.0,Malawi,High Degree of Caution
Malaysia,https://www.ireland.ie/en/dfa/overseas-travel/advice/malaysia/,2.0,Malaysia,High Degree of Caution
Maldives,https://www.ireland.ie/en/dfa/overseas-travel/advice/maldives/,2.0,Maldives,High Degree of Caution
Mali,https://www.ireland.ie/en/dfa/overseas-travel/advice/mali/,4.0,Mali,Do Not Travel
Malta,https://www.ireland.ie/en/dfa/overseas-travel/advice/malta/,1.0,Malta,Normal Precautions
Marshall Islands,https://www.ireland.ie/en/dfa/overseas-travel/advice/marshall-islands/,1.0,Marshall Islands,Normal Precautions
Martinique,https://www.ireland.ie/en/dfa/overseas-travel/advice/martinique/,2.0,Martinique,High Degree of Caution
Mauritania,https://www.ireland.ie/en/dfa/overseas-travel/advice/mauritania/,3.0,Mauritania,Avoid Unnecessary Travel
Mauritius,https://www.ireland.ie/en/dfa/overseas-travel/advice/mauritius/,1.0,Mauritius,Normal Precautions
Mayotte,https://www.ireland.ie/en/dfa/overseas-travel/advice/mayotte/,2.0,Mayotte,High Degree of Caution
Mexico,https://www.ireland.ie/en/dfa/overseas-travel/advice/mexico/,2.0,Mexico,High Degree of Caution
Moldova,https://www.ireland.ie/en/dfa/overseas-travel/advice/moldova/,2.0,Moldova,High Degree of Caution
Monaco,https://www.ireland.ie/en/dfa/overseas-travel/advice/monaco/,1.0,Monaco,Normal Precautions
Mongolia,https://www.ireland.ie/en/dfa/overseas-travel/advice/mongolia/,1.0,Mongolia,Normal Precautions
Montenegro,https://www.ireland.ie/en/dfa/overseas-travel/advice/montenegro/,1.0,Montenegro,Normal Precautions
